id,name,followers,genres,popularity,num_albums,debut_year,last_active_year,active_years,country,begin_area
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,110728398,,95,3,2019,2024,6,US,Los Angeles
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,37039752,"art pop, pop",94,17,2008,2025,18,US,Upper East Side
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,46809118,,92,10,2012,2023,12,US,Manhattan
25uiPmTg16RbhZWAqwLBy5,Charli xcx,5353044,"hyperpop, art pop",86,11,2013,2024,12,,Cambridge
163tK9Wjr9P9DmM0AVK7lm,Lorde,10232498,,80,4,2013,2021,9,NZ,Takapuna
1WgXqy2Dd70QQOU7Ay074N,AURORA,4366535,"norwegian pop, art pop",77,7,2016,2024,9,NO,Stavanger
56ZTgzPBDge0OvCGgMO3OY,Beach House,2590145,dream pop,75,9,2006,2022,17,US,Hawthorne
6LEeAFiJF8OuPx747e1wxR,Blood Orange,1130775,art pop,73,5,2011,2019,9,GB,Ilford
6oBm8HB0yfrIc9IHbxs6in,Lykke Li,1944436,,71,8,2008,2024,17,SE,Ystad
4MXUO7sVCaFgFjoTI5ox5c,Sufjan Stevens,2219457,"chamber pop, baroque pop",72,23,2003,2024,22,US,Detroit
1aSxMhuvixZ8h9dK9jIDwL,Kate Bush,2355030,"art pop, baroque pop, art rock",71,12,1978,2011,34,,Welling
3TNt4aUIxgfy9aoaft5Jj2,Yeah Yeah Yeahs,1439750,indie rock,69,7,2003,2022,20,US,New York
6Jrxnp0JgqmeUX1veU591p,Santigold,775489,,67,5,2008,2022,15,US,Philadelphia
53KwLdlmrlCelAZMaLVZqU,James Blake,1528962,,70,11,2011,2024,14,US,Barnwell
07D1Bjaof0NFlU32KXiqUP,Lucy Dacus,591580,,73,4,2016,2025,10,US,Richmond
053q0ukIDRgzwTr4vNSwab,Grimes,2547069,art pop,70,6,2010,2021,12,CA,Vancouver
5QdyldG4Fl4TPiOIeMNpBZ,Big Thief,1141893,,71,5,2016,2022,7,US,Brooklyn
2kGBy2WHvF0VdZyqiVCkDT,Father John Misty,923443,chamber pop,71,7,2012,2025,14,US,Rockville
6nB0iY1cjSY1KyhYyuIIKH,FKA twigs,1395864,"art pop, alternative r&b",69,4,2014,2025,12,,Cheltenham
6Rx1JKzBrSzoKQtmbVmBnM,Hayley Williams,765782,art pop,67,2,2020,2021,2,US,Flushing
6liAMWkVf5LH7YR9yfFy1Y,Portishead,2222728,"trip hop, downtempo",66,5,1994,2023,30,GB,Bristol
6UcJxoeHWWWyT5HZP064om,Chet Faker,458868,,63,5,2012,2024,13,AU,Melbourne
2AcUPzkVWo81vumdzeLLRN,Rhye,688965,,63,5,2013,2021,9,US,Toronto
6CWTBjOJK75cTE8Xv8u1kj,Feist,794058,chamber pop,60,7,2004,2023,20,CA,Amherst
3fhOTtm0LBJ3Ojn4hIljLo,Roxy Music,1058426,"glam rock, art rock",62,15,1972,2023,52,GB,London
5Wabl1lPdNOeIn0SQ5A1mp,Cocteau Twins,1244983,"shoegaze, dream pop, post-punk",67,13,1982,2024,43,,Grangemouth
1WvvwcQx0tj6NdDhZZ2zZz,Future Islands,640714,,61,7,2008,2024,17,US,Greenville
2xe8IXgCTpwHE3eA9hTs4n,BANKS,1086163,,62,8,2014,2025,12,,New Carrollton
3g2kUQ6tHLLbmkV7T4GPtL,Fiona Apple,1697360,"art pop, chamber pop",66,5,1996,2020,25,US,Manhattan
31uyAcnY0kjjKKIQZMKX4i,Grouper,337995,"drone, slowcore, ambient, dream pop",62,11,2005,2021,17,US,Marin County
4aEnNH9PuU1HF3TsZTru54,Caribou,708648,idm,58,10,2001,2024,24,CA,Dundas
2ueoLVCXQ948OfhVvAy3Nn,Perfume Genius,415266,"art pop, chamber pop",61,10,2010,2025,16,US,Des Moines
6Tyzp9KzpiZ04DABQoedps,Little Dragon,709974,trip hop,62,8,2007,2025,19,SE,Gothenburg
3M3wTTCDwicRubwMyHyEDy,Shygirl,327127,hyperpop,63,3,2022,2024,3,,London
7w29UYBi0qsHi5RTcv3lmA,Björk,2315276,"art pop, trip hop",65,25,1995,2023,29,IS,Reykjavík
4Ge8xMJNwt6EEXOzVXju9a,Caroline Polachek,600922,art pop,63,3,2019,2024,6,US,Manhattan
7MSUfLeTdDEoZiJPDSBXgi,Brian Eno,797948,"ambient, art rock, krautrock, minimalism, drone, glam rock",62,25,2006,2024,19,GB,Woodbridge
12VaqyEhgwDRuFfEqbnrpz,PJ Harvey,1166736,"art pop, singer-songwriter",60,25,1993,2024,32,,Bridport
4tOVIRjlWWfR1RrAxyRqTE,Chromatics,477012,dream pop,59,14,2006,2021,16,US,Portland
04vj3iPUiVh5melWr0w3xT,Christine and the Queens,726580,"art pop, french pop",58,7,2014,2023,10,US,
