id,name,followers,genres,popularity
2wPDbhaGXCqROrVmwDdCrK,Oneohtrix Point Never,258208,"idm, drone, ambient, experimental",47
2mpeljBig2IXLXRAFO9AAs,Dido,2015948,,75
053q0ukIDRgzwTr4vNSwab,Grimes,2536396,art pop,69
3Uqu1mEdkUJxPe7s31n1M9,Weyes Blood,523488,"art pop, baroque pop, chamber pop",59
4Ge8xMJNwt6EEXOzVXju9a,Caroline Polachek,595920,art pop,62
7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,8463781,latin,78
335TWGWGFan4vaacJzSiU8,A. G. Cook,182452,hyperpop,57
791Z3924aa619hZ3xsOJEx,Elizabeth Fraser,46843,,58
33EUXrFKGjpUSGacqEHhU4,Iggy Pop,1714081,"proto-punk, glam rock",62
5HRGFSrlJruRPZNPbsy57r,Undercatt,38681,"melodic techno, melodic house, minimal techno, techno",45
0SfsnGyD8FpIN4U4WCkBZ5,Armin van Buuren,4521826,"trance, progressive house, electronica, edm",76
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,39756081,"hip hop, west coast hip hop",97
2mqIaYukHl8Zb7cvAHG0Y6,Benno De Goeij,709,,24
0tMr0e1EQZ0Vci7EHz2bM9,Shadow Child,52350,tech house,43
10dTAeheJUqaoY9C0UxdHx,Julien Bracht,3004,,23
1YAv2yohpdjlPVbtqZCGLY,Doldrums,8046,,26
3gRbjzXPan9DOBEMmTjxVo,潘PAN,14474,,30
0y42IQBDFigO5mmEd1bGQG,i_o,99427,,46
2jYMYP2SVifgmzNRQJx3SJ,Modeselektor,243603,idm,45
37230BxxYs9ksS7OkZw3IU,Chencho Corleone,1624856,reggaeton,78
2p4aN0Uxkk3iT3HK0cJ2cJ,Tokischa,1444774,"dembow, neoperreo",72
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,102484717,,97
422xxK1WL06dHKlZDASc9x,jonny gorgeous,364,hyperpop,3
2f1BFOhuLHw7mXfquuG85y,Ö,5981,hyperpop,16
3ypTgZWVLSkBaTjFNjSDE8,caro♡,20143,hyperpop,25
1cdFsfULlsBxTYbAhWlKNQ,Denzel Himself,5876,,15
08DpSTsNFBf1PxTm9lwpXb,Max Tundra,4911,idm,23
4gQsGkfdB4uVrNBqo4MhmI,LUMP,24270,,27
44mRrrRjaV8iu1VLIKuwty,Gwenno,25514,space rock,24
4JbZkZewgxY5ZOuJD8dSPl,CUTS,3987,,27
32KmawYmxJ5tcL7Qkbegff,Will Gregory,997,,16
112n8pqLHAybFBHk2nB9yp,Sun's Signature,20077,art pop,28
3CcqTY5fsD6Bli5ecGhDKz,William S. Burroughs,20670,spoken word,20
57UAfFRB3Yn1PSsjX0xNbG,Iggy Pop and the Stooges,9,,1
0qT79UgT5tY4yudH9VfsdT,Sum 41,4155699,"pop punk, punk, skate punk",73
4BFMTELQyWJU1SwqcXMBm3,The Stooges,663386,"proto-punk, punk, garage rock",51
5zNHgHdloaJWeZtkVfFCPF,The Trolls,630,garage rock,22
1NBf74RR6Dd0cUQog9Uhcd,Half Of Me,164,"melodic techno, melodic house",0
4WRWFxbK0DKYIpHcScsnAE,Citizen Kain,11361,"melodic techno, melodic house, minimal techno, techno",27
67Gv7dwcRa7EjGDf1zWaHR,Ivan Masa,3814,"indie dance, melodic techno, melodic house",15
3VPDTHXbhY1NdFM3xpf2Ta,SANDHAUS,1911,"melodic techno, melodic house, afro house",33
1BsQxCEbgRXSMX6uCXIp31,Fat Cosmoe,3285,"melodic techno, melodic house, indie dance, progressive house",16
44RB2EcmMwG4gC8EH75Ix1,Jennifer Rene,8024,"trance, progressive trance",39
6fMpfNgqaXdCWbsnXS9hCo,Bogdan Vix,5371,"trance, progressive trance",31
13jm4r5O79Vxjy3zzZ51j0,Luke Bond,20039,"trance, progressive trance",38
69cjUeiPAQTbYpV50INrC5,Jan Vayne,3645,trance,30
6sfRrE7BI5Dm3axuoRlUWq,Wintersix,587,,12
07d5etnpjriczFBB8pxmRe,BJ The Chicago Kid,458816,neo soul,61
2TImI3DW7o5MdRXJs4D37h,SOB X RBE,583880,hyphy,54
1XkoF8ryArs86LZvFOkbyr,Mary J. Blige,4157926,r&b,73
1bPYCoigTRLOQwNfjpwmff,Tanna Leone,33980,,49
3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,9946557,"hip hop, east coast hip hop, rap",84
1MAtgTZFYZqE4u7JQNdzPv,Code 23,204,"jungle, breakbeat",2
7CpmbhzkL9uT1D9nhckTxB,Joseph Ashworth,9698,melodic techno,45
4XYh8yz79ILkPPbUSi9S20,T.Williams,5007,uk funky,30
634pWaMnhmhPL4NTvAONcP,Supertanker,32,,0
7kzGWqwdYaFGTsQNlAGX0V,Deejay Astral,1840,lo-fi house,17
2PtuiQVPH59mk8TYx84LXW,Enyang Ha,398,,1
3HAlHSuGwyi9absSOqjTYS,Sami Nacomi,0,,0
0FyBGgYP4sYfiWNfWgGqyJ,Guy Dallas,27,synthwave,0
5F7BhRKuPflyIm9fOuU4Fp,Sandflower (Japan),1,,0
0bGDTQ78MVgI5Snqo9KJZw,Qrion,42001,"melodic house, deep house, progressive house",47
2lUrSsHsfcCEL03ByHevnY,CHOVBE,9027,"chinese indie, taiwanese indie, taiwanese pop",14
4hH4fEXPg3qpTDlmdNOO01,DJ Paypal,11138,"footwork, singeli",21
5pdyjBIaY5o1yOyexGIUc6,Lights,307924,,55
048FBwXjFYBWxSggPDipic,Maximo Park,249651,"indie, britpop, indie rock",47
42s9nZQ8ddRJxHzRhPv8o7,Sacha Perera,40,,9
