Artist 1,Artist 2,Shared Neighbors,Genre Overlap,Popularity Diff
Rina Sawayama,Shygirl,3,0,5
Perfume Genius,Caroline Polachek,2,1,2
Christine and the Queens,Weyes Blood,2,1,2
Lady Gaga,Billie Eilish,1,0,1
Blood Orange,Björk,1,1,8
Yeah Yeah Yeahs,Weyes Blood,1,0,9
Santigold,St. Vincent,1,0,3
Santigold,Brian Eno,1,0,5
Grimes,Weyes Blood,1,1,10
Father John Misty,Weyes Blood,1,0,10
FKA twigs,Björk,1,1,4
Shygirl,SOPHIE,1,1,8
Shygirl,Blood Orange,1,0,10
Shygirl,Thom Yorke,1,0,3
Shygirl,Caroline Polachek,1,0,0
PJ Harvey,Björk,1,1,5
Brian Eno,St. Vincent,1,0,2
Christine and the Queens,Aldous Harding,1,0,8
Christine and the Queens,Shygirl,1,0,5
Christine and the Queens,Yaeji,1,0,6
Christine and the Queens,Rina Sawayama,1,0,0
Sharon Van Etten,Kurt Vile,1,1,4
Thom Yorke,Arca,1,0,1
Thom Yorke,Fever Ray,1,0,8
Róisín Murphy,St. Vincent,1,1,9
Róisín Murphy,Brian Eno,1,0,7
Fever Ray,ANOHNI,1,0,3
Weyes Blood,Aldous Harding,1,0,10
Weyes Blood,Cat Power,1,0,4
Arca,Fever Ray,1,0,9
Arca,Empress Of,1,0,7
Arca,FKA twigs,1,0,8
Rina Sawayama,Caroline Polachek,1,0,5
Rina Sawayama,Yaeji,1,1,6
Rina Sawayama,Arca,1,0,3
SOPHIE,Björk,1,0,10
Eartheater,Arca,1,1,8
Eartheater,Empress Of,1,0,1
